OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 0001420,3/6/2015,102,Wholesale,USD,AXW291,836,30,11,"1,098.80","12,086.80",813.11
SO - 0002254,3/6/2015,10,Wholesale,USD,FLR025,401,11,6,"2,539.30","15,235.80","1,193.47"
SO - 0003673,3/6/2015,76,Wholesale,USD,AXW291,218,3,12,"2,659.90","31,918.80","1,542.74"
SO - 0003927,3/6/2015,175,Wholesale,USD,GUT930,439,3,5,207.70,"1,038.50",128.77
SO - 0005817,3/6/2015,45,Wholesale,USD,GUT930,203,4,12,"3,959.70","47,516.40","3,167.76"
SO - 0007907,3/6/2015,148,Distributor,USD,AXW291,315,23,11,"3,289.70","36,186.70","2,204.10"
SO - 0009325,3/6/2015,4,Wholesale,USD,AXW291,713,25,9,"1,105.50","9,949.50",807.02
SO - 0001699,3/6/2015,63,Wholesale,USD,GUT930,485,6,9,"2,465.60","22,190.40","1,651.95"
SO - 0001703,3/6/2015,167,Wholesale,USD,GUT930,701,15,7,"5,514.10","38,598.70","4,356.14"
SO - 0007670,3/6/2015,93,Wholesale,USD,AXW291,149,19,9,"6,365.00","57,285.00","5,219.30"
SO - 0009052,3/6/2015,35,Wholesale,USD,NXH382,456,11,8,"1,768.80","14,150.40",760.58
SO - 0001231,3/6/2015,144,Distributor,USD,FLR025,782,2,6,"1,065.30","6,391.80",468.73
SO - 0004519,3/6/2015,123,Wholesale,USD,FLR025,479,7,6,254.60,"1,527.60",124.75
SO - 0005392,3/6/2015,2,Wholesale,USD,GUT930,50,26,5,"1,085.40","5,427.00",835.76
SO - 0006664,3/6/2015,37,Wholesale,USD,GUT930,314,8,6,723.60,"4,341.60",586.12
SO - 0008135,3/6/2015,121,Export,USD,NXH382,789,14,6,"1,969.80","11,818.80",984.90
SO - 0009432,3/6/2015,83,Wholesale,USD,FLR025,977,13,5,"3,993.20","19,966.00","1,597.28"
SO - 0008826,3/6/2015,106,Wholesale,USD,GUT930,236,2,5,"3,504.10","17,520.50","2,417.83"
SO - 000353,3/6/2015,133,Wholesale,USD,NXH382,937,5,6,"1,072.00","6,432.00",460.96
SO - 0001751,3/6/2015,133,Distributor,USD,GUT930,601,15,11,"5,969.70","65,666.70","3,223.64"
SO - 0003023,3/6/2015,3,Wholesale,USD,FLR025,725,1,9,"5,326.50","47,938.50","2,237.13"
SO - 0005948,3/6/2015,141,Export,USD,AXW291,701,5,6,"5,835.70","35,014.20","2,917.85"
SO - 0007089,3/6/2015,27,Export,USD,FLR025,666,15,11,"2,358.40","25,942.40","1,698.05"
SO - 0001162,3/6/2015,111,Export,USD,AXW291,285,3,6,"6,331.50","37,989.00","2,532.60"
SO - 0009182,3/6/2015,97,Distributor,USD,NXH382,334,1,12,"3,825.70","45,908.40","3,175.33"
SO - 0009295,3/6/2015,20,Wholesale,USD,NXH382,171,2,12,"1,112.20","13,346.40",811.91
SO - 0010733,3/6/2015,73,Wholesale,USD,NXH382,645,24,9,958.10,"8,622.90",603.60
SO - 000588,3/7/2015,80,Distributor,USD,AXW291,451,2,6,"3,932.90","23,597.40","2,989.00"
SO - 0002872,3/7/2015,73,Export,USD,AXW291,770,1,12,"3,691.70","44,300.40","2,768.78"
SO - 0002924,3/7/2015,91,Wholesale,USD,AXW291,291,16,9,"5,855.80","52,702.20","3,806.27"
SO - 0004357,3/7/2015,71,Wholesale,USD,AXW291,234,23,11,"1,152.40","12,676.40",737.54
SO - 0004499,3/7/2015,119,Export,USD,AXW291,95,11,9,234.50,"2,110.50",175.88
SO - 0006163,3/7/2015,103,Wholesale,USD,AXW291,880,5,10,"1,058.60","10,586.00",529.30
SO - 0009237,3/7/2015,171,Distributor,USD,AXW291,100,15,9,180.90,"1,628.10",146.53
SO - 0010388,3/7/2015,21,Export,USD,AXW291,635,21,9,"1,273.00","11,457.00",814.72
SO - 0010224,3/7/2015,11,Export,USD,AXW291,653,5,5,"2,345.00","11,725.00","1,172.50"
SO - 000903,3/7/2015,79,Wholesale,USD,AXW291,148,3,12,810.70,"9,728.40",551.28
SO - 0001322,3/7/2015,36,Wholesale,USD,FLR025,716,26,12,207.70,"2,492.40",137.08
SO - 0001564,3/7/2015,169,Distributor,USD,AXW291,796,23,8,991.60,"7,932.80",823.03
SO - 0002287,3/7/2015,109,Distributor,USD,AXW291,361,26,10,187.60,"1,876.00",93.80
SO - 0006310,3/7/2015,38,Wholesale,USD,AXW291,695,25,7,"2,546.00","17,822.00","1,196.62"
SO - 0006739,3/7/2015,43,Wholesale,USD,GUT930,309,12,7,"2,646.50","18,525.50","1,482.04"
SO - 0010370,3/7/2015,117,Distributor,USD,NXH382,545,14,10,998.30,"9,983.00",808.62
SO - 0010509,3/7/2015,36,Distributor,USD,NXH382,797,17,12,261.30,"3,135.60",214.27
SO - 0009588,3/7/2015,121,Wholesale,USD,AXW291,585,17,6,"1,105.50","6,633.00",519.59
SO - 0003235,3/7/2015,117,Wholesale,USD,AXW291,280,28,8,"3,403.60","27,228.80","2,416.56"
SO - 0006674,3/7/2015,89,Distributor,USD,AXW291,972,13,6,194.30,"1,165.80",110.75
SO - 0009791,3/7/2015,101,Wholesale,USD,GUT930,743,20,5,"3,792.20","18,961.00","2,919.99"
SO - 0010534,3/7/2015,146,Wholesale,USD,FLR025,301,25,6,"3,899.40","23,396.40","2,612.60"
SO - 0002583,3/7/2015,173,Export,USD,AXW291,728,5,10,"1,701.80","17,018.00",867.92
SO - 0002872,3/7/2015,73,Export,USD,AXW291,94,1,12,"3,691.70","44,300.40","2,768.78"
SO - 0005783,3/7/2015,53,Wholesale,USD,AXW291,240,25,9,"1,132.30","10,190.70",702.03
SO - 0007040,3/7/2015,115,Distributor,USD,FLR025,527,16,9,"3,584.50","32,260.50","2,831.76"
SO - 0007595,3/7/2015,107,Distributor,USD,AXW291,162,27,6,"1,051.90","6,311.40",662.70
SO - 0007842,3/7/2015,29,Wholesale,USD,AXW291,704,14,9,"1,072.00","9,648.00",825.44
SO - 0009229,3/7/2015,26,Wholesale,USD,GUT930,918,21,7,783.90,"5,487.30",642.80
SO - 0010112,3/7/2015,78,Distributor,USD,AXW291,171,17,11,"5,480.60","60,286.60","3,288.36"
SO - 0009910,3/7/2015,148,Wholesale,USD,AXW291,428,26,7,214.40,"1,500.80",96.48
SO - 000628,3/7/2015,133,Distributor,USD,AXW291,566,5,9,241.20,"2,170.80",180.90
SO - 0001100,3/7/2015,74,Distributor,USD,GUT930,595,13,12,"5,306.40","63,676.80","2,387.88"
SO - 0001787,3/7/2015,23,Wholesale,USD,GUT930,612,25,10,"1,058.60","10,586.00",857.47
SO - 0004910,3/7/2015,129,Distributor,USD,AXW291,938,23,11,"1,319.90","14,518.90",884.33
SO - 0006600,3/7/2015,93,Wholesale,USD,AXW291,759,26,10,"3,926.20","39,262.00","2,591.29"
SO - 0006882,3/7/2015,36,Export,USD,AXW291,79,6,8,"1,018.40","8,147.20",570.30
SO - 0008544,3/7/2015,21,Wholesale,USD,AXW291,237,6,11,"5,045.10","55,496.10","3,279.32"
SO - 0002044,3/7/2015,41,Wholesale,USD,NXH382,117,25,7,214.40,"1,500.80",135.07
SO - 0004970,3/7/2015,145,Wholesale,USD,NXH382,343,13,9,268.00,"2,412.00",123.28
SO - 0005600,3/7/2015,33,Wholesale,USD,AXW291,254,25,7,971.50,"6,800.50",505.18
SO - 000618,3/8/2015,4,Export,USD,AXW291,187,25,9,"1,125.60","10,130.40",889.22
SO - 000742,3/8/2015,74,Wholesale,USD,AXW291,86,16,6,"1,098.80","6,592.80",835.09
SO - 0001674,3/8/2015,90,Wholesale,USD,AXW291,238,3,10,207.70,"2,077.00",83.08
SO - 0002356,3/8/2015,50,Wholesale,USD,AXW291,421,19,12,683.40,"8,200.80",512.55
SO - 0002775,3/8/2015,46,Wholesale,USD,AXW291,383,13,12,984.90,"11,818.80",502.30
SO - 0004563,3/8/2015,60,Distributor,USD,AXW291,641,19,7,"5,339.90","37,379.30","2,189.36"
SO - 0004824,3/8/2015,59,Wholesale,USD,AXW291,369,27,12,944.70,"11,336.40",576.27
SO - 0005745,3/8/2015,128,Wholesale,USD,AXW291,860,7,10,710.20,"7,102.00",497.14
SO - 0006594,3/8/2015,136,Distributor,USD,AXW291,792,3,12,"3,845.80","46,149.60","2,076.73"
SO - 0007832,3/8/2015,76,Distributor,USD,AXW291,451,26,11,"1,266.30","13,929.30",848.42
SO - 0008247,3/8/2015,139,Wholesale,USD,AXW291,64,25,6,"2,432.10","14,592.60","1,361.98"
SO - 0003222,3/8/2015,71,Wholesale,USD,NXH382,672,4,5,"2,345.00","11,725.00","1,031.80"
SO - 0004699,3/8/2015,123,Wholesale,USD,AXW291,943,3,8,"1,239.50","9,916.00",706.52
SO - 0005696,3/8/2015,151,Wholesale,USD,FLR025,497,25,11,"1,815.70","19,972.70","1,434.40"
SO - 0006336,3/8/2015,103,Wholesale,USD,AXW291,672,13,7,"2,934.60","20,542.20","2,230.30"
SO - 0006949,3/8/2015,30,Distributor,USD,AXW291,838,6,10,"1,192.60","11,926.00",954.08
SO - 0009826,3/8/2015,125,Wholesale,USD,GUT930,687,4,11,"3,819.00","42,009.00","2,711.49"
SO - 0009843,3/8/2015,113,Distributor,USD,AXW291,787,14,12,"2,284.70","27,416.40","1,690.68"
SO - 0002130,3/8/2015,27,Export,USD,NXH382,489,16,6,174.20,"1,045.20",78.39
SO - 0002375,3/8/2015,149,Wholesale,USD,FLR025,569,25,6,"1,876.00","11,256.00","1,256.92"
SO - 0004020,3/8/2015,114,Wholesale,USD,GUT930,215,25,7,"1,969.80","13,788.60","1,654.63"
SO - 0004172,3/8/2015,6,Wholesale,USD,AXW291,313,30,10,"1,125.60","11,256.00",675.36
SO - 0004408,3/8/2015,113,Distributor,USD,AXW291,860,3,7,"1,145.70","8,019.90",836.36
SO - 0005163,3/8/2015,40,Wholesale,USD,AXW291,866,26,9,931.30,"8,381.70",605.35
SO - 0005259,3/8/2015,127,Wholesale,USD,AXW291,323,1,10,"2,438.80","24,388.00","1,999.82"
SO - 0006137,3/8/2015,100,Export,USD,AXW291,237,25,5,"2,666.60","13,333.00","1,093.31"
SO - 0002125,3/8/2015,7,Wholesale,USD,GUT930,602,13,8,770.50,"6,164.00",547.06
SO - 0002893,3/8/2015,78,Wholesale,USD,AXW291,365,25,9,"1,688.40","15,195.60",861.08
SO - 0003993,3/8/2015,169,Wholesale,USD,AXW291,929,13,12,"3,825.70","45,908.40","2,907.53"
SO - 0005995,3/8/2015,74,Distributor,USD,NXH382,361,19,6,"3,872.60","23,235.60","3,059.35"
SO - 0007316,3/8/2015,158,Distributor,USD,AXW291,619,2,7,"2,793.90","19,557.30","1,452.83"
SO - 0010212,3/8/2015,139,Distributor,USD,NXH382,394,10,7,241.20,"1,688.40",202.61
SO - 0010508,3/8/2015,84,Wholesale,USD,NXH382,849,30,10,"1,882.70","18,827.00","1,110.79"
SO - 0009721,3/8/2015,43,Distributor,USD,AXW291,821,15,12,194.30,"2,331.60",110.75
SO - 0009187,3/8/2015,80,Distributor,USD,FLR025,810,3,8,"2,626.40","21,011.20","1,943.54"
SO - 0010052,3/8/2015,87,Wholesale,USD,FLR025,324,12,9,"1,681.70","15,135.30",924.94
SO - 0009541,3/8/2015,165,Distributor,USD,GUT930,791,25,11,"1,118.90","12,307.90",861.55
SO - 0001789,3/8/2015,127,Distributor,USD,AXW291,55,13,6,"1,762.10","10,572.60","1,409.68"
SO - 0003042,3/8/2015,84,Distributor,USD,AXW291,208,1,10,"3,035.10","30,351.00","2,215.62"
SO - 0003759,3/8/2015,168,Distributor,USD,NXH382,133,10,5,"1,246.20","6,231.00",598.18
SO - 0004208,3/8/2015,81,Distributor,USD,AXW291,636,8,11,"1,715.20","18,867.20",737.54
SO - 0006577,3/8/2015,68,Wholesale,USD,FLR025,968,13,9,"6,478.90","58,310.10","5,183.12"
SO - 0006731,3/8/2015,25,Wholesale,USD,FLR025,356,1,8,"2,485.70","19,885.60","1,168.28"
SO - 0008470,3/8/2015,36,Wholesale,USD,GUT930,234,25,8,"5,266.20","42,129.60","2,580.44"
SO - 0010697,3/8/2015,124,Export,USD,AXW291,946,29,12,"2,639.80","31,677.60","1,293.50"
SO - 0001683,3/8/2015,1,Wholesale,USD,NXH382,444,29,8,"3,926.20","31,409.60","2,630.55"
SO - 0002432,3/8/2015,158,Distributor,USD,AXW291,963,13,7,"3,906.10","27,342.70","1,562.44"
SO - 0004637,3/8/2015,36,Export,USD,FLR025,559,25,8,"3,792.20","30,337.60","2,237.40"
SO - 0005464,3/8/2015,100,Export,USD,FLR025,740,3,8,"6,036.70","48,293.60","3,923.86"
SO - 0005956,3/8/2015,44,Distributor,USD,AXW291,987,2,7,"3,892.70","27,248.90","2,452.40"
SO - 0006045,3/8/2015,33,Wholesale,USD,AXW291,798,13,12,"1,139.00","13,668.00",569.50
SO - 0007360,3/8/2015,30,Wholesale,USD,GUT930,888,13,11,"2,773.80","30,511.80","1,414.64"
SO - 000149,3/9/2015,78,Export,USD,AXW291,498,4,6,"2,003.30","12,019.80",921.52
SO - 0003343,3/9/2015,17,Wholesale,USD,AXW291,726,4,10,"5,835.70","58,357.00","4,026.63"
SO - 0004042,3/9/2015,105,Export,USD,AXW291,811,8,7,"1,145.70","8,019.90",801.99
SO - 0007522,3/9/2015,10,Wholesale,USD,AXW291,423,25,11,"1,139.00","12,529.00",763.13
SO - 0009816,3/9/2015,54,Wholesale,USD,AXW291,431,14,12,"3,664.90","43,978.80","2,198.94"
SO - 0002288,3/9/2015,76,Export,USD,AXW291,582,5,11,"2,244.50","24,689.50","1,324.26"
SO - 0006330,3/9/2015,48,Wholesale,USD,FLR025,541,13,8,"3,162.40","25,299.20","1,612.82"
SO - 0007944,3/9/2015,63,Distributor,USD,GUT930,610,17,5,"3,819.00","19,095.00","1,565.79"
SO - 0009704,3/9/2015,113,Wholesale,USD,AXW291,1,4,11,"1,132.30","12,455.30",713.35
SO - 0008534,3/9/2015,97,Wholesale,USD,AXW291,736,23,6,"2,914.50","17,487.00","2,156.73"
SO - 0009896,3/9/2015,114,Wholesale,USD,NXH382,745,5,6,"1,286.40","7,718.40",617.47
SO - 0008167,3/9/2015,115,Distributor,USD,FLR025,233,14,5,"3,892.70","19,463.50","3,075.23"
SO - 0002927,3/9/2015,150,Wholesale,USD,AXW291,674,25,8,"1,869.30","14,954.40","1,196.35"
SO - 0003498,3/9/2015,17,Wholesale,USD,NXH382,340,21,12,978.20,"11,738.40",498.88
SO - 0003698,3/9/2015,72,Wholesale,USD,AXW291,304,15,11,"1,011.70","11,128.70",566.55
SO - 0006797,3/9/2015,83,Wholesale,USD,AXW291,724,13,6,"6,525.80","39,154.80","3,589.19"
SO - 0007318,3/9/2015,73,Wholesale,USD,GUT930,956,12,6,194.30,"1,165.80",110.75
SO - 0007102,3/9/2015,162,Wholesale,USD,NXH382,449,26,6,"2,318.20","13,909.20","1,947.29"
SO - 0010643,3/9/2015,104,Distributor,USD,GUT930,342,25,6,"3,557.70","21,346.20","1,814.43"
SO - 0003068,3/9/2015,107,Wholesale,USD,AXW291,761,25,6,227.80,"1,366.80",152.63
SO - 0004025,3/9/2015,69,Distributor,USD,GUT930,644,13,6,167.50,"1,005.00",95.48
SO - 0004467,3/9/2015,168,Wholesale,USD,AXW291,246,25,8,"5,185.80","41,486.40","3,111.48"
SO - 0006133,3/9/2015,60,Distributor,USD,AXW291,635,10,6,"3,879.30","23,275.80","3,142.23"
SO - 0006180,3/9/2015,155,Wholesale,USD,AXW291,82,25,12,"2,532.60","30,391.20","2,152.71"
SO - 0006244,3/9/2015,93,Wholesale,USD,AXW291,339,26,12,"3,832.40","45,988.80","1,647.93"
SO - 0009266,3/9/2015,135,Distributor,USD,GUT930,478,4,9,"1,005.00","9,045.00",462.30
SO - 0008464,3/9/2015,44,Distributor,USD,GUT930,250,15,5,"3,852.50","19,262.50","1,695.10"
SO - 000308,3/9/2015,4,Distributor,USD,GUT930,555,1,11,"1,045.20","11,497.20",533.05
SO - 000609,3/9/2015,47,Export,USD,GUT930,219,4,6,"2,592.90","15,557.40","1,711.31"
SO - 0001659,3/9/2015,7,Distributor,USD,AXW291,174,19,10,"2,291.40","22,914.00","1,191.53"
SO - 0004853,3/9/2015,136,Wholesale,USD,GUT930,419,13,12,"2,425.40","29,104.80","1,697.78"
SO - 0009458,3/9/2015,163,Export,USD,AXW291,536,14,8,"1,809.00","14,472.00",741.69
SO - 0010235,3/9/2015,49,Export,USD,GUT930,55,4,12,167.50,"2,010.00",93.80
SO - 0009624,3/9/2015,146,Wholesale,USD,NXH382,580,14,12,"2,365.10","28,381.20","1,821.13"
SO - 0008628,3/9/2015,164,Distributor,USD,AXW291,700,25,5,"1,306.50","6,532.50",718.58
SO - 0005626,3/10/2015,89,Wholesale,USD,AXW291,418,11,6,187.60,"1,125.60",93.80
SO - 0006690,3/10/2015,59,Wholesale,USD,AXW291,471,28,6,"1,112.20","6,673.20",700.69
SO - 0010556,3/10/2015,86,Wholesale,USD,GUT930,386,26,6,"3,383.50","20,301.00","2,774.47"
SO - 0010097,3/10/2015,144,Wholesale,USD,AXW291,360,19,6,"6,398.50","38,391.00","4,606.92"
SO - 0002244,3/10/2015,108,Wholesale,USD,GUT930,472,27,8,"5,701.70","45,613.60","2,280.68"
SO - 0002578,3/10/2015,60,Wholesale,USD,FLR025,470,1,11,"6,217.60","68,393.60","4,911.90"
SO - 0004135,3/10/2015,19,Wholesale,USD,GUT930,156,1,5,"3,195.90","15,979.50","2,364.97"
SO - 0005151,3/10/2015,58,Distributor,USD,AXW291,9,15,6,857.60,"5,145.60",531.71
SO - 0005547,3/10/2015,58,Wholesale,USD,NXH382,922,14,10,"2,619.70","26,197.00","1,859.99"
SO - 0010780,3/10/2015,117,Distributor,USD,GUT930,188,2,7,"3,886.00","27,202.00","2,914.50"
SO - 0009839,3/10/2015,86,Distributor,USD,FLR025,42,17,11,"1,051.90","11,570.90",568.03
SO - 0008727,3/10/2015,164,Wholesale,USD,FLR025,494,2,9,"1,045.20","9,406.80",585.31
SO - 000179,3/10/2015,131,Distributor,USD,AXW291,282,25,8,261.30,"2,090.40",143.72
SO - 000312,3/10/2015,109,Wholesale,USD,GUT930,908,13,7,227.80,"1,594.60",95.68
SO - 000998,3/10/2015,81,Wholesale,USD,AXW291,735,6,9,"3,852.50","34,672.50","2,157.40"
SO - 0004956,3/10/2015,81,Export,USD,NXH382,55,19,10,214.40,"2,144.00",120.06
SO - 0005648,3/10/2015,48,Distributor,USD,AXW291,908,5,6,"2,626.40","15,758.40","1,785.95"
SO - 0006806,3/10/2015,78,Wholesale,USD,AXW291,350,18,12,"6,452.10","77,425.20","2,903.45"
SO - 0008899,3/10/2015,113,Distributor,USD,AXW291,679,13,7,"5,688.30","39,818.10","2,502.85"
SO - 0009787,3/10/2015,161,Export,USD,AXW291,684,6,10,917.90,"9,179.00",514.02
SO - 000679,3/10/2015,160,Distributor,USD,AXW291,868,3,7,"2,512.50","17,587.50","2,135.63"
SO - 0003777,3/10/2015,100,Export,USD,GUT930,150,15,9,"6,331.50","56,983.50","3,292.38"
SO - 0004562,3/10/2015,160,Export,USD,AXW291,504,12,11,"2,606.30","28,669.30","1,277.09"
SO - 0005133,3/10/2015,51,Wholesale,USD,NXH382,803,23,5,"1,098.80","5,494.00",901.02
SO - 0005151,3/10/2015,58,Distributor,USD,AXW291,980,15,6,857.60,"5,145.60",531.71
SO - 0007348,3/10/2015,114,Wholesale,USD,GUT930,647,12,11,"1,835.80","20,193.80",844.47
SO - 0008036,3/10/2015,79,Export,USD,AXW291,741,25,6,268.00,"1,608.00",201.00
SO - 0008654,3/10/2015,22,Distributor,USD,AXW291,128,15,8,998.30,"7,986.40",848.56
SO - 0001010,3/10/2015,37,Wholesale,USD,AXW291,167,17,9,"1,078.70","9,708.30",593.29
SO - 0001807,3/10/2015,149,Wholesale,USD,FLR025,908,3,8,"5,326.50","42,612.00","4,207.94"
SO - 0003604,3/10/2015,17,Export,USD,NXH382,776,26,11,"2,371.80","26,089.80","1,351.93"
SO - 0004997,3/10/2015,24,Wholesale,USD,AXW291,805,1,8,"2,231.10","17,848.80",892.44
SO - 0005022,3/10/2015,125,Wholesale,USD,GUT930,12,4,12,897.80,"10,773.60",475.83
SO - 0005482,3/10/2015,41,Wholesale,USD,GUT930,971,26,10,"6,023.30","60,233.00","4,517.48"
SO - 0005997,3/10/2015,109,Export,USD,GUT930,55,3,7,"1,715.20","12,006.40","1,200.64"
SO - 0006195,3/10/2015,17,Wholesale,USD,GUT930,834,29,10,"1,815.70","18,157.00","1,398.09"
SO - 0007909,3/10/2015,10,Export,USD,GUT930,605,22,11,207.70,"2,284.70",176.55
SO - 0008928,3/10/2015,112,Export,USD,NXH382,377,10,9,"2,626.40","23,637.60","1,391.99"
SO - 0008183,3/10/2015,148,Export,USD,NXH382,516,2,10,"3,343.30","33,433.00","2,240.01"
SO - 000503,3/10/2015,119,Wholesale,USD,AXW291,678,18,12,964.80,"11,577.60",675.36
SO - 0003169,3/10/2015,25,Distributor,USD,NXH382,625,13,7,247.90,"1,735.30",123.95
SO - 0004796,3/10/2015,7,Wholesale,USD,GUT930,917,9,9,"2,572.80","23,155.20","1,878.14"
SO - 0005493,3/10/2015,17,Export,USD,GUT930,331,13,6,"1,293.10","7,758.60",995.69
SO - 0007315,3/10/2015,163,Export,USD,NXH382,165,6,8,"1,206.00","9,648.00",844.20
SO - 0010198,3/10/2015,63,Wholesale,USD,AXW291,646,26,10,"3,008.30","30,083.00","2,075.73"
SO - 0009041,3/10/2015,129,Export,USD,NXH382,679,5,5,"1,045.20","5,226.00",533.05
SO - 0001137,3/11/2015,35,Distributor,USD,AXW291,818,14,9,"3,986.50","35,878.50","3,268.93"
SO - 0001594,3/11/2015,33,Wholesale,USD,AXW291,622,7,8,167.50,"1,340.00",73.70
SO - 0004508,3/11/2015,69,Distributor,USD,AXW291,732,14,5,"6,545.90","32,729.50","2,749.28"
SO - 0005383,3/11/2015,104,Wholesale,USD,AXW291,283,2,7,877.70,"6,143.90",526.62
SO - 0006716,3/11/2015,131,Distributor,USD,AXW291,680,26,8,207.70,"1,661.60",93.47
SO - 0007178,3/11/2015,110,Wholesale,USD,AXW291,286,11,12,"1,058.60","12,703.20",508.13
SO - 0009512,3/11/2015,55,Wholesale,USD,GUT930,262,15,9,"1,768.80","15,919.20","1,308.91"
SO - 0010219,3/11/2015,100,Export,USD,GUT930,408,2,6,"5,085.30","30,511.80","2,186.68"
SO - 0005979,3/11/2015,118,Wholesale,USD,GUT930,429,23,11,"1,172.50","12,897.50",492.45
SO - 0006215,3/11/2015,73,Distributor,USD,FLR025,913,4,10,"3,329.90","33,299.00","2,497.43"
SO - 0006997,3/11/2015,14,Wholesale,USD,GUT930,1,17,7,"5,654.80","39,583.60","3,279.78"
SO - 0007763,3/11/2015,90,Wholesale,USD,GUT930,564,5,7,"5,969.70","41,787.90","3,641.52"
SO - 000263,3/11/2015,108,Distributor,USD,AXW291,106,8,9,"1,909.50","17,185.50","1,088.42"
SO - 0001051,3/11/2015,125,Wholesale,USD,FLR025,703,23,6,"2,566.10","15,396.60","1,334.37"
SO - 0006119,3/11/2015,92,Distributor,USD,AXW291,434,1,9,"2,244.50","20,200.50","1,391.59"
SO - 0007034,3/11/2015,69,Wholesale,USD,NXH382,102,15,8,"2,646.50","21,172.00","1,931.95"
SO - 0009651,3/11/2015,171,Wholesale,USD,AXW291,227,25,11,227.80,"2,505.80",134.40
SO - 0010027,3/11/2015,132,Distributor,USD,GUT930,412,15,8,"3,852.50","30,820.00","2,311.50"
SO - 000317,3/11/2015,40,Distributor,USD,AXW291,353,2,6,"2,881.00","17,286.00","1,584.55"
SO - 0006689,3/11/2015,43,Export,USD,AXW291,469,16,5,"3,886.00","19,430.00","2,253.88"
SO - 0006729,3/11/2015,37,Distributor,USD,GUT930,987,21,12,"3,504.10","42,049.20","1,401.64"
SO - 0007016,3/11/2015,135,Export,USD,GUT930,753,3,11,"1,098.80","12,086.80",813.11
SO - 0007345,3/11/2015,159,Wholesale,USD,FLR025,666,14,12,951.40,"11,416.80",447.16
SO - 0010472,3/11/2015,45,Distributor,USD,GUT930,747,15,11,"1,125.60","12,381.60",506.52
SO - 0010151,3/11/2015,139,Distributor,USD,NXH382,729,5,9,"3,825.70","34,431.30","2,486.71"
SO - 000638,3/11/2015,136,Distributor,USD,AXW291,49,25,5,924.60,"4,623.00",536.27
SO - 0001446,3/11/2015,1,Export,USD,AXW291,494,15,9,810.70,"7,296.30",486.42
SO - 0002737,3/11/2015,147,Wholesale,USD,AXW291,402,3,10,"1,232.80","12,328.00",678.04
SO - 0004703,3/11/2015,82,Distributor,USD,AXW291,616,24,12,"1,005.00","12,060.00",572.85
SO - 0009467,3/11/2015,137,Distributor,USD,GUT930,97,26,11,207.70,"2,284.70",103.85
SO - 0001285,3/11/2015,131,Distributor,USD,NXH382,481,18,11,"3,999.90","43,998.90","2,559.94"
SO - 0001758,3/11/2015,33,Distributor,USD,GUT930,299,2,6,"3,155.70","18,934.20","2,335.22"
SO - 0007769,3/11/2015,4,Distributor,USD,AXW291,607,19,11,"6,371.70","70,088.70","3,249.57"
SO - 0008144,3/11/2015,157,Wholesale,USD,AXW291,334,3,8,"6,157.30","49,258.40","3,509.66"
SO - 0008181,3/11/2015,73,Wholesale,USD,NXH382,387,13,5,"5,996.50","29,982.50","4,557.34"
SO - 0009289,3/11/2015,149,Wholesale,USD,NXH382,971,26,7,"1,246.20","8,723.40",573.25
SO - 0008353,3/11/2015,162,Distributor,USD,GUT930,654,25,11,"3,999.90","43,998.90","3,119.92"
SO - 0001469,3/12/2015,154,Wholesale,USD,AXW291,217,11,8,"2,532.60","20,260.80","1,899.45"
SO - 0001607,3/12/2015,101,Wholesale,USD,AXW291,905,22,9,"2,666.60","23,999.40","1,999.95"
SO - 0002362,3/12/2015,22,Wholesale,USD,AXW291,151,4,8,"3,919.50","31,356.00","3,292.38"
SO - 0005721,3/12/2015,128,Wholesale,USD,AXW291,161,26,12,"4,006.60","48,079.20","3,125.15"
SO - 000815,3/12/2015,107,Distributor,USD,GUT930,858,18,11,187.60,"2,063.60",127.57
SO - 000845,3/12/2015,160,Export,USD,NXH382,757,9,8,261.30,"2,090.40",117.59
SO - 0005377,3/12/2015,70,Export,USD,AXW291,497,25,11,247.90,"2,726.90",131.39
SO - 0005451,3/12/2015,120,Wholesale,USD,NXH382,666,20,8,"3,390.20","27,121.60","2,339.24"
SO - 0007262,3/12/2015,133,Export,USD,AXW291,931,15,11,"3,343.30","36,776.30","1,604.78"
SO - 0007946,3/12/2015,13,Distributor,USD,NXH382,994,1,8,"1,286.40","10,291.20",990.53
SO - 0008611,3/12/2015,165,Distributor,USD,FLR025,654,28,7,"1,996.60","13,976.20","1,477.48"
SO - 0009340,3/12/2015,142,Distributor,USD,GUT930,828,26,6,"3,343.30","20,059.80","1,972.55"
SO - 0010157,3/12/2015,142,Distributor,USD,AXW291,795,5,12,"1,118.90","13,426.80",626.58
SO - 0002021,3/12/2015,129,Distributor,USD,GUT930,604,18,10,174.20,"1,742.00",87.10
SO - 0003266,3/12/2015,111,Wholesale,USD,GUT930,489,13,5,207.70,"1,038.50",153.70
SO - 0003421,3/12/2015,73,Wholesale,USD,AXW291,602,12,11,"2,485.70","27,342.70","1,640.56"
SO - 0004446,3/12/2015,45,Wholesale,USD,AXW291,891,18,12,"1,708.50","20,502.00",683.40
SO - 0007851,3/12/2015,77,Wholesale,USD,AXW291,314,2,6,"1,025.10","6,150.60",799.58
